http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   snort-2017.10.25      pyzB9UZbQ9G4t5IiiKVuoQ   1   0       5074            0     11.7mb         11.7mb
yellow open   bro-2018.06.11        VY58YlA6SuCdbx-hGQ0SPA   5   1      54954            0     29.2mb         29.2mb
green  open   netflow-v9-2017.10.07 vp59DFicS0q7gNuJ0fZbfA   5   0      12702            0        3mb            3mb
yellow open   netflow-v9-2018.06.02 gWSptX-gSw64sZ6x5TXT5A   5   1      17665            0      4.6mb          4.6mb
green  open   winlogbeat-2017.05.22 MbqUgVmGT2WV_Mdk_uj-8A   5   0        108            0    170.3kb        170.3kb
green  open   netflow-v9-2017.09.08 vT7OXAwMRbqdzDzY-UsmGg   5   0      18980            0      4.4mb          4.4mb
green  open   winlogbeat-2017.12.18 3K9GMHThRLmVtIgNrDIzJw   5   0        292            0    409.9kb        409.9kb
green  open   snort-2018.06.16      4L0JePepTjWwfiAhfAts1A   1   0        461            0      1.1mb          1.1mb
green  open   netflow-v9-2017.10.31 -cCWN6GcTEy_CkThS2uHsg   5   0      25701            0      5.5mb          5.5mb
green  open   netflow-v9-2018.02.02 UuLBBofhRG-sTKboXCXC9Q   5   0      15774            0      3.9mb          3.9mb
yellow open   bro-2018.05.30        _N0X6kYnS-i-vBJL7aDxNw   5   1      21550            0     14.2mb         14.2mb
green  open   netflow-v9-2017.10.14 Oc3OAE2SQ8yVZz9TJLZILA   5   0      10573            0      2.7mb          2.7mb
green  open   netflow-v5-2017.10.31 LA5L-WxWQx2IgaFdPasGKw   1   0      14921            0      1.9mb          1.9mb
green  open   snort-2018.06.26      QEBQ9ZogRUu_MZxwpweguA   1   0        753            0      3.1mb          3.1mb
green  open   netflow-v9-2016.07.21 T8s3HZQGRYyl6GZBpbOhSA   1   0       3766            0    512.7kb        512.7kb
green  open   .kibana               MhKFmVZsSX-AN931xNYyOQ   1   0         48            8    160.6kb        160.6kb
green  open   snort-2018.06.18      yp7-0SanRNibh3y-VnUzBw   1   0        630            0      2.1mb          2.1mb
green  open   bro-2017.12.11        xxBG45oTSDqiPqDxgcKkSw   5   0     194449            0     66.7mb         66.7mb
green  open   winlogbeat-2017.11.13 uXNxw6OsTmeGWoTh7Hyutg   5   0        268            0    370.2kb        370.2kb
